53478,2017,10,15,1,6.300000e+00
53478,2017,10,15,2,8.900000e+00
53478,2017,10,15,3,1.080000e+01
53478,2017,10,15,4,1.110000e+01
53478,2017,10,15,5,1.270000e+01
53478,2017,10,15,6,1.330000e+01
53478,2017,10,15,7,1.420000e+01
53478,2017,10,15,8,1.410000e+01
53478,2017,10,15,9,1.340000e+01
53478,2017,10,15,10,1.020000e+01
53478,2017,10,15,11,7.300000e+00
53478,2017,10,15,12,6.200000e+00
53478,2017,10,15,13,7.200000e+00
53478,2017,10,15,14,6.400000e+00
53478,2017,10,15,15,5.200000e+00
53478,2017,10,15,16,3.900000e+00
53478,2017,10,15,17,2.400000e+00
53478,2017,10,15,18,1.400000e+00
53478,2017,10,15,19,4.000000e-01
53478,2017,10,15,20,-5.000000e-01
53478,2017,10,15,21,-9.000000e-01
53478,2017,10,15,22,-1.600000e+00
53478,2017,10,15,23,-2
53478,2017,10,16,0,0
53478,2017,10,16,1,4.300000e+00
53478,2017,10,16,2,7.500000e+00
53478,2017,10,16,3,10
53478,2017,10,16,4,1.250000e+01
53478,2017,10,16,5,1.340000e+01
53478,2017,10,16,6,1.440000e+01
53478,2017,10,16,7,1.430000e+01
53478,2017,10,16,8,1.420000e+01
53478,2017,10,16,9,1.370000e+01
53478,2017,10,16,10,1.240000e+01
53478,2017,10,16,11,9.500000e+00
53478,2017,10,16,12,6.500000e+00
53478,2017,10,16,13,5.300000e+00
53478,2017,10,16,14,3.800000e+00
53478,2017,10,16,15,2.700000e+00
53478,2017,10,16,16,2.300000e+00
53478,2017,10,16,17,2
53478,2017,10,16,18,3
53478,2017,10,16,19,3.700000e+00
53478,2017,10,16,20,2.900000e+00
53478,2017,10,16,21,2.400000e+00
53478,2017,10,16,22,1.800000e+00
53478,2017,10,16,23,1.700000e+00
53478,2017,10,17,0,2.700000e+00
53478,2017,10,17,1,5
53478,2017,10,17,2,7.900000e+00
53478,2017,10,17,3,9.300000e+00
53478,2017,10,17,4,10
53478,2017,10,17,5,9.500000e+00
53478,2017,10,17,6,8.700000e+00
53478,2017,10,17,7,8.100000e+00
53478,2017,10,17,8,7.400000e+00
53478,2017,10,17,9,6.600000e+00
53478,2017,10,17,10,6.100000e+00
53478,2017,10,17,11,5.800000e+00
53478,2017,10,17,12,5.700000e+00
53478,2017,10,17,13,5.700000e+00
53478,2017,10,17,14,5.700000e+00
53478,2017,10,17,15,5.600000e+00
53478,2017,10,17,16,5.400000e+00
53478,2017,10,17,17,5.100000e+00
53478,2017,10,17,18,5
53478,2017,10,17,19,5
53478,2017,10,17,20,4.900000e+00
53478,2017,10,17,21,4.900000e+00
53478,2017,10,17,22,4.900000e+00
53478,2017,10,17,23,4.900000e+00
53478,2017,10,18,0,5.300000e+00
53478,2017,10,18,1,5.800000e+00
53478,2017,10,18,2,6.600000e+00
53478,2017,10,18,3,7.200000e+00
53478,2017,10,18,4,7.300000e+00
53478,2017,10,18,5,7.600000e+00
53478,2017,10,18,6,7.900000e+00
53478,2017,10,18,7,7.900000e+00
53478,2017,10,18,8,7.800000e+00
53478,2017,10,18,9,7.800000e+00
53478,2017,10,18,10,7.300000e+00
53478,2017,10,18,11,7
53478,2017,10,18,12,6.600000e+00
